time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/03/25/14:16:30.023943,71,1648185390,23209215,map,718.850731283,109.267480152,0.0,0.0,-0.0,-0.999815624996,-0.0192019794193
2022/03/25/14:16:30.123770,72,1648185390,123116049,map,718.850731283,109.267480152,0.0,0.0,-0.0,-0.999815624996,-0.0192019794193
2022/03/25/14:16:30.223662,73,1648185390,223017905,map,718.567920993,109.278578931,0.0,0.0,-0.0,-0.999925774242,-0.0121838420476
2022/03/25/14:16:30.323662,74,1648185390,323006788,map,718.567920993,109.278578931,0.0,0.0,-0.0,-0.999925774242,-0.0121838420476
2022/03/25/14:16:30.423902,75,1648185390,423205935,map,718.567920993,109.278578931,0.0,0.0,-0.0,-0.999925774242,-0.0121838420476
2022/03/25/14:16:30.523880,76,1648185390,523213891,map,718.267435059,109.300776489,0.0,0.0,-0.0,-0.99969942875,-0.0245163650641
2022/03/25/14:16:30.623900,77,1648185390,623249602,map,718.267435059,109.300776489,0.0,0.0,-0.0,-0.99969942875,-0.0245163650641
2022/03/25/14:16:30.723610,78,1648185390,722970253,map,717.940435661,109.300776489,0.0,0.0,0.0,-0.999999857571,0.000533721659921
2022/03/25/14:16:30.823863,79,1648185390,823252225,map,717.940435661,109.300776489,0.0,0.0,0.0,-0.999999857571,0.000533721659921
2022/03/25/14:16:30.923989,80,1648185390,923248892,map,717.940435661,109.300776489,0.0,0.0,0.0,-0.999999857571,0.000533721659921
2022/03/25/14:16:31.023970,81,1648185391,23259631,map,717.586922798,109.300776489,0.0,0.0,0.0,-0.999764112762,0.0217190891609
2022/03/25/14:16:31.123795,82,1648185391,123058771,map,717.586922798,109.300776489,0.0,0.0,0.0,-0.999764112762,0.0217190891609
2022/03/25/14:16:31.223996,83,1648185391,223258109,map,717.233409934,109.28967771,0.0,0.0,-0.0,-0.999850126758,-0.0173125394331
2022/03/25/14:16:31.323910,84,1648185391,323258909,map,717.233409934,109.28967771,0.0,0.0,-0.0,-0.999850126758,-0.0173125394331
2022/03/25/14:16:31.423848,85,1648185391,423200304,map,717.233409934,109.28967771,0.0,0.0,-0.0,-0.999850126758,-0.0173125394331
2022/03/25/14:16:31.523784,86,1648185391,523145874,map,716.879897072,109.300776489,0.0,0.0,-0.0,-0.999990938107,-0.00425719425201
2022/03/25/14:16:31.623502,87,1648185391,622963436,map,716.879897072,109.300776489,0.0,0.0,-0.0,-0.999990938107,-0.00425719425201
2022/03/25/14:16:31.723740,88,1648185391,723067864,map,716.499870744,109.311875268,0.0,0.0,-0.0,-0.999563363626,-0.0295479626376
2022/03/25/14:16:31.823750,89,1648185391,823036371,map,716.499870744,109.311875268,0.0,0.0,-0.0,-0.999563363626,-0.0295479626376
2022/03/25/14:16:31.923852,90,1648185391,923207742,map,716.499870744,109.311875268,0.0,0.0,-0.0,-0.999563363626,-0.0295479626376
2022/03/25/14:16:32.023897,91,1648185392,23238352,map,716.111006594,109.345171605,0.0,0.0,-0.0,-0.999755240249,-0.0221237337509
2022/03/25/14:16:32.123827,92,1648185392,123162331,map,716.111006594,109.345171605,0.0,0.0,-0.0,-0.999755240249,-0.0221237337509
2022/03/25/14:16:32.223679,93,1648185392,223048820,map,715.704466802,109.378467943,0.0,0.0,-0.0,-0.999751863543,-0.0222758017094
2022/03/25/14:16:32.323684,94,1648185392,323056806,map,715.704466802,109.378467943,0.0,0.0,-0.0,-0.999751863543,-0.0222758017094
2022/03/25/14:16:32.423696,95,1648185392,423049631,map,715.704466802,109.378467943,0.0,0.0,-0.0,-0.999751863543,-0.0222758017094
2022/03/25/14:16:32.523649,96,1648185392,523018689,map,715.315602653,109.389566722,0.0,0.0,-0.0,-0.999752339578,-0.0222544267262
2022/03/25/14:16:32.623608,97,1648185392,623034355,map,715.315602653,109.389566722,0.0,0.0,-0.0,-0.999752339578,-0.0222544267262
2022/03/25/14:16:32.723434,98,1648185392,722948214,map,714.917900682,109.41176428,0.0,0.0,-0.0,-0.999449298372,-0.0331828266355
2022/03/25/14:16:32.823827,99,1648185392,823163774,map,714.917900682,109.41176428,0.0,0.0,-0.0,-0.999449298372,-0.0331828266355
2022/03/25/14:16:32.923893,100,1648185392,923286832,map,714.917900682,109.41176428,0.0,0.0,-0.0,-0.999449298372,-0.0331828266355
2022/03/25/14:16:33.023831,101,1648185393,23284852,map,714.51136089,109.445060618,0.0,0.0,-0.0,-0.999583625033,-0.028854402899
2022/03/25/14:16:33.123678,102,1648185393,123071151,map,714.51136089,109.445060618,0.0,0.0,-0.0,-0.999583625033,-0.028854402899
2022/03/25/14:16:33.223544,103,1648185393,223018977,map,714.087145454,109.467258175,0.0,0.0,-0.0,-0.999797807126,-0.0201083282783
